county,method,horizon,mae
LosAngeles,normal_prior,1,17.985197422634997
LosAngeles,normal_prior,2,17.68359991362272
LosAngeles,normal_prior,3,17.585262964679302
LosAngeles,normal_prior,4,18.240563254385506
LosAngeles,normal_prior,5,17.782738595089704
LosAngeles,normal_prior,6,17.82573991274142
LosAngeles,normal_prior,7,17.78459567034917
LosAngeles,normal_prior,8,17.834537858702063
LosAngeles,normal_prior,9,17.569996939000305
LosAngeles,normal_prior,10,18.07177931423817
LosAngeles,normal_prior,11,17.921860050466314
LosAngeles,normal_prior,12,17.553805675320458
LosAngeles,global_residual,1,18.525941260483144
LosAngeles,global_residual,2,18.15490835265259
LosAngeles,global_residual,3,18.067427250345432
LosAngeles,global_residual,4,18.980380817799812
LosAngeles,global_residual,5,18.16569824174666
LosAngeles,global_residual,6,18.415126047639056
LosAngeles,global_residual,7,18.41243023530671
LosAngeles,global_residual,8,18.40208478289652
LosAngeles,global_residual,9,18.023762877054438
LosAngeles,global_residual,10,18.52286823787538
LosAngeles,global_residual,11,18.57925489710831
LosAngeles,global_residual,12,18.135365023637224
LosAngeles,type_residual,1,18.561392366343547
LosAngeles,type_residual,2,18.18981289056178
LosAngeles,type_residual,3,18.122380129866873
LosAngeles,type_residual,4,19.05307263449938
LosAngeles,type_residual,5,18.25669426714199
LosAngeles,type_residual,6,18.481908055116314
LosAngeles,type_residual,7,18.51907705243787
LosAngeles,type_residual,8,18.489042800703672
LosAngeles,type_residual,9,18.094503870824642
LosAngeles,type_residual,10,18.618443637518606
LosAngeles,type_residual,11,18.63126344796649
LosAngeles,type_residual,12,18.146306878970833
LosAngeles,retrieval_residual,1,19.447707141157238
LosAngeles,retrieval_residual,2,19.079169313109304
LosAngeles,retrieval_residual,3,19.01494053142287
LosAngeles,retrieval_residual,4,19.767120243060635
LosAngeles,retrieval_residual,5,19.202687854323884
LosAngeles,retrieval_residual,6,19.330157754590843
LosAngeles,retrieval_residual,7,19.336485513015905
LosAngeles,retrieval_residual,8,19.327305362216485
LosAngeles,retrieval_residual,9,18.887983036165796
LosAngeles,retrieval_residual,10,19.617529048084283
LosAngeles,retrieval_residual,11,19.426482796949212
LosAngeles,retrieval_residual,12,19.10474471466952
LosAngeles,persistence,1,10.049656351249304
LosAngeles,persistence,2,11.022488534953464
LosAngeles,persistence,3,12.040471829447629
LosAngeles,persistence,4,13.34921734349228
LosAngeles,persistence,5,13.763716625438285
LosAngeles,persistence,6,15.179287375945135
LosAngeles,persistence,7,15.969014347480908
LosAngeles,persistence,8,16.492019337359174
LosAngeles,persistence,9,17.537291154078602
LosAngeles,persistence,10,18.488950648326192
LosAngeles,persistence,11,19.899699797582603
LosAngeles,persistence,12,20.40484517895593
Orange,normal_prior,1,18.244955016453723
Orange,normal_prior,2,18.313035150326915
Orange,normal_prior,3,18.024891655172333
Orange,normal_prior,4,18.45320474462489
Orange,normal_prior,5,18.731243124200127
Orange,normal_prior,6,18.554712868326128
Orange,normal_prior,7,18.26787192699431
Orange,normal_prior,8,18.58818108816605
Orange,normal_prior,9,17.97445677171151
Orange,normal_prior,10,18.274297405038514
Orange,normal_prior,11,18.89353907229537
Orange,normal_prior,12,18.059540163115255
Orange,global_residual,1,18.623650494624595
Orange,global_residual,2,18.715005426649668
Orange,global_residual,3,18.68024667117296
Orange,global_residual,4,18.921559867546367
Orange,global_residual,5,19.206505434482164
Orange,global_residual,6,19.1582848454661
Orange,global_residual,7,18.900332262510457
Orange,global_residual,8,19.0299859574916
Orange,global_residual,9,18.364288883557066
Orange,global_residual,10,18.696039502469496
Orange,global_residual,11,19.568948661555392
Orange,global_residual,12,18.957405616932235
Orange,type_residual,1,18.695811986385692
Orange,type_residual,2,18.805922078766798
Orange,type_residual,3,18.67520835327587
Orange,type_residual,4,19.115934346342655
Orange,type_residual,5,19.316631689277518
Orange,type_residual,6,19.14165038828465
Orange,type_residual,7,18.928943966231724
Orange,type_residual,8,19.17004963609712
Orange,type_residual,9,18.45638700041248
Orange,type_residual,10,18.798030040714632
Orange,type_residual,11,19.62004401205449
Orange,type_residual,12,19.02925551167564
Orange,retrieval_residual,1,19.82586476233467
Orange,retrieval_residual,2,19.8649651764047
Orange,retrieval_residual,3,19.75488924925442
Orange,retrieval_residual,4,20.245453321157537
Orange,retrieval_residual,5,20.093580623342326
Orange,retrieval_residual,6,20.228523487122047
Orange,retrieval_residual,7,19.742411143141613
Orange,retrieval_residual,8,20.005875895363463
Orange,retrieval_residual,9,19.466423238066294
Orange,retrieval_residual,10,19.46854479095188
Orange,retrieval_residual,11,20.082697135523215
Orange,retrieval_residual,12,19.778033346484946
Orange,persistence,1,9.687318938574885
Orange,persistence,2,10.73000510152282
Orange,persistence,3,12.043535296762057
Orange,persistence,4,12.455935553886459
Orange,persistence,5,13.751951626380958
Orange,persistence,6,14.67056657035472
Orange,persistence,7,15.756413150313547
Orange,persistence,8,17.21288120882996
Orange,persistence,9,18.07838880681554
Orange,persistence,10,18.782314475823593
Orange,persistence,11,19.56646614827342
Orange,persistence,12,20.855702561434715
Alameda,normal_prior,1,16.234976016210787
Alameda,normal_prior,2,17.447796040512497
Alameda,normal_prior,3,16.312473381809916
Alameda,normal_prior,4,17.02388035448312
Alameda,normal_prior,5,17.128367278712364
Alameda,normal_prior,6,16.405330674014106
Alameda,normal_prior,7,18.170691728491576
Alameda,normal_prior,8,17.08908388149056
Alameda,normal_prior,9,17.64913328047152
Alameda,normal_prior,10,17.551458273672495
Alameda,normal_prior,11,18.00709289252156
Alameda,normal_prior,12,16.06793448218593
Alameda,global_residual,1,16.298514635019107
Alameda,global_residual,2,17.890605624344353
Alameda,global_residual,3,16.686058149974677
Alameda,global_residual,4,17.13421963923212
Alameda,global_residual,5,17.376893102117595
Alameda,global_residual,6,16.49516689231969
Alameda,global_residual,7,18.192707516618956
Alameda,global_residual,8,17.263883930838617
Alameda,global_residual,9,17.759160749017255
Alameda,global_residual,10,18.000578690617612
Alameda,global_residual,11,18.261045965831983
Alameda,global_residual,12,16.31230232652521
Alameda,type_residual,1,16.524089184957727
Alameda,type_residual,2,18.086881479229316
Alameda,type_residual,3,16.91721253726646
Alameda,type_residual,4,17.247062847567875
Alameda,type_residual,5,17.465067870005694
Alameda,type_residual,6,16.77299277667421
Alameda,type_residual,7,18.49021855567352
Alameda,type_residual,8,17.50412861478554
Alameda,type_residual,9,18.01642179494566
Alameda,type_residual,10,18.04484543580406
Alameda,type_residual,11,18.458863672068755
Alameda,type_residual,12,16.411248099161167
Alameda,retrieval_residual,1,16.806031422242395
Alameda,retrieval_residual,2,18.24834080989902
Alameda,retrieval_residual,3,17.084164462131934
Alameda,retrieval_residual,4,17.650715166521618
Alameda,retrieval_residual,5,17.870178915786646
Alameda,retrieval_residual,6,16.998436697522923
Alameda,retrieval_residual,7,18.90687578891777
Alameda,retrieval_residual,8,18.122268048900896
Alameda,retrieval_residual,9,18.56908377640589
Alameda,retrieval_residual,10,18.137252336841467
Alameda,retrieval_residual,11,19.024107966008238
Alameda,retrieval_residual,12,17.40826369736043
Alameda,persistence,1,11.126989515542181
Alameda,persistence,2,12.903810679711878
Alameda,persistence,3,12.928106592159079
Alameda,persistence,4,14.058463115082043
Alameda,persistence,5,15.448640056330749
Alameda,persistence,6,16.11522304208993
Alameda,persistence,7,17.29496228052711
Alameda,persistence,8,17.669301840592716
Alameda,persistence,9,18.338254193264227
Alameda,persistence,10,20.02335569714055
Alameda,persistence,11,18.854610083881852
Alameda,persistence,12,20.302337853595464
ContraCosta,normal_prior,1,23.181140062253768
ContraCosta,normal_prior,2,23.346522369123484
ContraCosta,normal_prior,3,25.28066342105604
ContraCosta,normal_prior,4,24.895732101022382
ContraCosta,normal_prior,5,25.06855497882791
ContraCosta,normal_prior,6,25.58239699193876
ContraCosta,normal_prior,7,23.715723868592146
ContraCosta,normal_prior,8,24.088694818052527
ContraCosta,normal_prior,9,24.085833904841174
ContraCosta,normal_prior,10,24.178310961266085
ContraCosta,normal_prior,11,23.658338310293956
ContraCosta,normal_prior,12,24.071837808008063
ContraCosta,global_residual,1,23.480650679637733
ContraCosta,global_residual,2,23.63624088873044
ContraCosta,global_residual,3,25.456699781576894
ContraCosta,global_residual,4,24.924434820219965
ContraCosta,global_residual,5,25.179455362870257
ContraCosta,global_residual,6,26.011997442236158
ContraCosta,global_residual,7,24.047903641982554
ContraCosta,global_residual,8,24.21810100544466
ContraCosta,global_residual,9,24.096938233162547
ContraCosta,global_residual,10,24.458395551996194
ContraCosta,global_residual,11,24.053655679071955
ContraCosta,global_residual,12,24.85355797024368
ContraCosta,type_residual,1,23.829736118013464
ContraCosta,type_residual,2,24.045884081419732
ContraCosta,type_residual,3,25.498693448722253
ContraCosta,type_residual,4,25.34381773527322
ContraCosta,type_residual,5,25.4097716564001
