county,method,n_train_events,n_test_events,mae
LosAngeles,normal_prior,7740,3111,17.819973130935843
LosAngeles,global_residual,7740,3111,18.365437335378775
LosAngeles,type_residual,7740,3111,18.430324835995997
LosAngeles,retrieval_residual,7740,3111,19.2951927757305
LosAngeles,persistence,7740,3111,15.349721543692459
Orange,normal_prior,2064,885,18.36499408220209
Orange,global_residual,2064,885,18.901854468704837
Orange,type_residual,2064,885,18.979489084126605
Orange,retrieval_residual,2064,885,19.879771847428923
Orange,persistence,2064,885,15.299289953247722
Alameda,normal_prior,1530,594,17.090684857048036
Alameda,global_residual,1530,594,17.30592810187143
Alameda,type_residual,1530,594,17.49491940567833
Alameda,retrieval_residual,1530,594,17.90214325737827
Alameda,persistence,1530,594,16.255337912493147
ContraCosta,normal_prior,805,365,24.262812466273026
ContraCosta,global_residual,805,365,24.53483592143109
ContraCosta,type_residual,805,365,24.728924747443767
ContraCosta,retrieval_residual,805,365,25.63408691230566
ContraCosta,persistence,805,365,19.47701170781976
