county,method,horizon,mae
LosAngeles,persistence,1,10.049656351249304
LosAngeles,persistence,2,11.022488534953464
LosAngeles,persistence,3,12.040471829447629
LosAngeles,persistence,4,13.34921734349228
LosAngeles,persistence,5,13.763716625438285
LosAngeles,persistence,6,15.179287375945135
LosAngeles,persistence,7,15.969014347480908
LosAngeles,persistence,8,16.492019337359174
LosAngeles,persistence,9,17.537291154078602
LosAngeles,persistence,10,18.488950648326192
LosAngeles,persistence,11,19.899699797582603
LosAngeles,persistence,12,20.40484517895593
LosAngeles,global_residual_ridge_target_mean,1,10.062843190075004
LosAngeles,global_residual_ridge_target_mean,2,11.095164642690186
LosAngeles,global_residual_ridge_target_mean,3,12.128599684048819
LosAngeles,global_residual_ridge_target_mean,4,13.531476735885105
LosAngeles,global_residual_ridge_target_mean,5,13.945855137688678
LosAngeles,global_residual_ridge_target_mean,6,15.495732460939486
LosAngeles,global_residual_ridge_target_mean,7,16.289467403584318
LosAngeles,global_residual_ridge_target_mean,8,16.821081985033388
LosAngeles,global_residual_ridge_target_mean,9,17.877396086247447
LosAngeles,global_residual_ridge_target_mean,10,18.958076254991582
LosAngeles,global_residual_ridge_target_mean,11,20.543719072491832
LosAngeles,global_residual_ridge_target_mean,12,21.15839836207824
LosAngeles,ridge_residual_expert,1,10.225026244815728
LosAngeles,ridge_residual_expert,2,11.105280326455702
LosAngeles,ridge_residual_expert,3,12.285659057954163
LosAngeles,ridge_residual_expert,4,13.725545835449322
LosAngeles,ridge_residual_expert,5,13.8436722483454
LosAngeles,ridge_residual_expert,6,15.371873838793691
LosAngeles,ridge_residual_expert,7,16.22492587605398
LosAngeles,ridge_residual_expert,8,17.128455321896233
LosAngeles,ridge_residual_expert,9,17.878342262046065
LosAngeles,ridge_residual_expert,10,19.123646756634113
LosAngeles,ridge_residual_expert,11,20.34189355651581
LosAngeles,ridge_residual_expert,12,21.090902519182922
LosAngeles,impact_score_gated_ridge_q75,1,9.896928988836041
LosAngeles,impact_score_gated_ridge_q75,2,10.695166192429669
LosAngeles,impact_score_gated_ridge_q75,3,11.607109228419107
LosAngeles,impact_score_gated_ridge_q75,4,12.882780169514781
LosAngeles,impact_score_gated_ridge_q75,5,12.9055645344704
LosAngeles,impact_score_gated_ridge_q75,6,14.30750222507209
LosAngeles,impact_score_gated_ridge_q75,7,14.980242008042552
LosAngeles,impact_score_gated_ridge_q75,8,15.647796226268108
LosAngeles,impact_score_gated_ridge_q75,9,16.47989508014361
LosAngeles,impact_score_gated_ridge_q75,10,17.430596648407317
LosAngeles,impact_score_gated_ridge_q75,11,18.5897773678369
LosAngeles,impact_score_gated_ridge_q75,12,19.178643334969642
LosAngeles,high_impact_train_gated_ridge_q75,1,9.953175483261553
LosAngeles,high_impact_train_gated_ridge_q75,2,10.74116002125662
LosAngeles,high_impact_train_gated_ridge_q75,3,11.698234557505783
LosAngeles,high_impact_train_gated_ridge_q75,4,12.96269932537276
LosAngeles,high_impact_train_gated_ridge_q75,5,12.93162014325461
LosAngeles,high_impact_train_gated_ridge_q75,6,14.267665793131092
LosAngeles,high_impact_train_gated_ridge_q75,7,15.028185321519839
LosAngeles,high_impact_train_gated_ridge_q75,8,15.562255195081919
LosAngeles,high_impact_train_gated_ridge_q75,9,16.42261441900598
LosAngeles,high_impact_train_gated_ridge_q75,10,17.39280939168314
LosAngeles,high_impact_train_gated_ridge_q75,11,18.488576484036656
LosAngeles,high_impact_train_gated_ridge_q75,12,19.15955942076116
LosAngeles,county_specific_ridge_residual_expert,1,10.233116999731509
LosAngeles,county_specific_ridge_residual_expert,2,11.090575098130905
LosAngeles,county_specific_ridge_residual_expert,3,12.286576795755206
LosAngeles,county_specific_ridge_residual_expert,4,13.754934607747357
LosAngeles,county_specific_ridge_residual_expert,5,13.872958623247513
LosAngeles,county_specific_ridge_residual_expert,6,15.349810095263877
LosAngeles,county_specific_ridge_residual_expert,7,16.279942867771943
LosAngeles,county_specific_ridge_residual_expert,8,17.137031398087437
LosAngeles,county_specific_ridge_residual_expert,9,17.829436739392182
LosAngeles,county_specific_ridge_residual_expert,10,19.040851011622795
LosAngeles,county_specific_ridge_residual_expert,11,20.226825036920456
LosAngeles,county_specific_ridge_residual_expert,12,20.97705530730952
Orange,persistence,1,9.687318938574885
Orange,persistence,2,10.73000510152282
Orange,persistence,3,12.043535296762057
Orange,persistence,4,12.455935553886459
Orange,persistence,5,13.751951626380958
Orange,persistence,6,14.67056657035472
Orange,persistence,7,15.756413150313547
Orange,persistence,8,17.21288120882996
Orange,persistence,9,18.07838880681554
Orange,persistence,10,18.782314475823593
Orange,persistence,11,19.56646614827342
Orange,persistence,12,20.855702561434715
Orange,global_residual_ridge_target_mean,1,9.695874110526463
Orange,global_residual_ridge_target_mean,2,10.781397371358933
Orange,global_residual_ridge_target_mean,3,12.10754094654236
Orange,global_residual_ridge_target_mean,4,12.598633692137547
Orange,global_residual_ridge_target_mean,5,13.871015262858126
Orange,global_residual_ridge_target_mean,6,14.880948981336491
Orange,global_residual_ridge_target_mean,7,15.906765411448578
Orange,global_residual_ridge_target_mean,8,17.405904247981987
Orange,global_residual_ridge_target_mean,9,18.25939611772682
Orange,global_residual_ridge_target_mean,10,19.079509377954636
Orange,global_residual_ridge_target_mean,11,20.039003300785566
Orange,global_residual_ridge_target_mean,12,21.305705229043102
Orange,ridge_residual_expert,1,9.62530620550224
Orange,ridge_residual_expert,2,10.695634870272842
Orange,ridge_residual_expert,3,12.36895684170306
Orange,ridge_residual_expert,4,12.951570625769607
Orange,ridge_residual_expert,5,14.425554423030245
Orange,ridge_residual_expert,6,15.425972496859805
Orange,ridge_residual_expert,7,16.386786431073347
Orange,ridge_residual_expert,8,18.415958968170575
Orange,ridge_residual_expert,9,19.101954921673187
Orange,ridge_residual_expert,10,19.709202768319102
Orange,ridge_residual_expert,11,20.760832090188433
Orange,ridge_residual_expert,12,22.192971832863872
Orange,impact_score_gated_ridge_q75,1,9.434275489315128
Orange,impact_score_gated_ridge_q75,2,10.424903781389808
Orange,impact_score_gated_ridge_q75,3,11.919170764574677
Orange,impact_score_gated_ridge_q75,4,12.269200729715298
Orange,impact_score_gated_ridge_q75,5,13.814072183795464
Orange,impact_score_gated_ridge_q75,6,14.511409532484862
Orange,impact_score_gated_ridge_q75,7,15.503387369050865
Orange,impact_score_gated_ridge_q75,8,17.37660248163608
Orange,impact_score_gated_ridge_q75,9,17.637001224884138
Orange,impact_score_gated_ridge_q75,10,18.220463963264905
Orange,impact_score_gated_ridge_q75,11,19.134669246962773
Orange,impact_score_gated_ridge_q75,12,20.35321195884297
Orange,high_impact_train_gated_ridge_q75,1,9.705786949996122
Orange,high_impact_train_gated_ridge_q75,2,10.670892089220356
Orange,high_impact_train_gated_ridge_q75,3,12.145993667523676
Orange,high_impact_train_gated_ridge_q75,4,12.537487605442198
Orange,high_impact_train_gated_ridge_q75,5,14.075418421018643
Orange,high_impact_train_gated_ridge_q75,6,15.097850359196935
Orange,high_impact_train_gated_ridge_q75,7,16.003508687122224
Orange,high_impact_train_gated_ridge_q75,8,18.053888902619015
Orange,high_impact_train_gated_ridge_q75,9,18.22512749784686
Orange,high_impact_train_gated_ridge_q75,10,18.835320528190714
Orange,high_impact_train_gated_ridge_q75,11,19.682882707136454
Orange,high_impact_train_gated_ridge_q75,12,21.089043899339607
Orange,county_specific_ridge_residual_expert,1,10.05413271895688
Orange,county_specific_ridge_residual_expert,2,10.969754634898914
Orange,county_specific_ridge_residual_expert,3,12.531977436883249
Orange,county_specific_ridge_residual_expert,4,13.04029166710197
Orange,county_specific_ridge_residual_expert,5,14.43569776822263
Orange,county_specific_ridge_residual_expert,6,15.74887941732002
Orange,county_specific_ridge_residual_expert,7,16.98678445788624
Orange,county_specific_ridge_residual_expert,8,18.352195932060592
Orange,county_specific_ridge_residual_expert,9,19.07364295500126
Orange,county_specific_ridge_residual_expert,10,19.93438655826858
Orange,county_specific_ridge_residual_expert,11,21.412456757155482
Orange,county_specific_ridge_residual_expert,12,22.46499107914955
Alameda,persistence,1,11.126989515542181
Alameda,persistence,2,12.903810679711878
Alameda,persistence,3,12.928106592159079
Alameda,persistence,4,14.058463115082043
Alameda,persistence,5,15.448640056330749
Alameda,persistence,6,16.11522304208993
Alameda,persistence,7,17.29496228052711
Alameda,persistence,8,17.669301840592716
Alameda,persistence,9,18.338254193264227
Alameda,persistence,10,20.02335569714055
Alameda,persistence,11,18.854610083881852
Alameda,persistence,12,20.302337853595464
Alameda,global_residual_ridge_target_mean,1,11.139001860373527
