node_windows,valid_values,MAE,RMSE,bias,MAE@h3,MAE@h6,MAE@h12,county,model,factor,value,scope,result_dir,STID_MAE,STID_RMSE,STID_bias,STID_MAE@h3,STID_MAE@h6,STID_MAE@h12,delta_vs_STID_MAE,delta_vs_STID_RMSE,delta_vs_STID_bias,delta_vs_STID_MAE@h3,delta_vs_STID_MAE@h6,delta_vs_STID_MAE@h12
5316,49917,11.569666382431409,21.23699623810277,-0.17497688833140748,10.665207029903744,11.695028023145658,12.712374297808497,LosAngeles,STID,incident_type,1141,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,11.569666382431409,21.23699623810277,-0.17497688833140748,10.665207029903744,11.695028023145658,12.712374297808497,0.0,0.0,0.0,0.0,0.0,0.0
5330,49828,11.663651696271208,21.988903931676624,-1.5845877454552058,10.705132709532574,11.743563532599595,13.070188567379871,LosAngeles,STID,incident_type,1141,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,11.663651696271208,21.988903931676624,-1.5845877454552058,10.705132709532574,11.743563532599595,13.070188567379871,0.0,0.0,0.0,0.0,0.0,0.0
849,7947,11.113490803460438,19.765939667688784,-0.3255186607751574,10.158495223468082,11.34887787491355,12.345337215527938,LosAngeles,STID,incident_type,1141,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,11.113490803460438,19.765939667688784,-0.3255186607751574,10.158495223468082,11.34887787491355,12.345337215527938,0.0,0.0,0.0,0.0,0.0,0.0
472,4276,10.782983868226925,19.27775184693205,-0.3732733124321705,9.995326708950373,11.264496195417626,11.762438358404697,LosAngeles,STID,incident_type,1141,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,10.782983868226925,19.27775184693205,-0.3732733124321705,9.995326708950373,11.264496195417626,11.762438358404697,0.0,0.0,0.0,0.0,0.0,0.0
16261,159562,12.786399346044881,22.928879643986615,-1.0539592274767091,11.75036673403364,12.793038624473551,14.475797071130033,LosAngeles,STID,incident_type,NoInj,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.786399346044881,22.928879643986615,-1.0539592274767091,11.75036673403364,12.793038624473551,14.475797071130033,0.0,0.0,0.0,0.0,0.0,0.0
16224,159429,13.104959951804565,25.717831010816518,-0.7068166080830388,12.10291079379567,13.108345158684237,14.607025802418166,LosAngeles,STID,incident_type,NoInj,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,13.104959951804565,25.717831010816518,-0.7068166080830388,12.10291079379567,13.108345158684237,14.607025802418166,0.0,0.0,0.0,0.0,0.0,0.0
2603,25468,13.112712264117143,25.207435142676925,-1.257298120097536,12.398312120617561,12.556689111526403,15.02413637624622,LosAngeles,STID,incident_type,NoInj,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,13.112712264117143,25.207435142676925,-1.257298120097536,12.398312120617561,12.556689111526403,15.02413637624622,0.0,0.0,0.0,0.0,0.0,0.0
1545,15050,13.734697373602478,25.28974948478807,-1.550536026812075,12.529214814864247,13.111509432458574,16.086248227473842,LosAngeles,STID,incident_type,NoInj,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,13.734697373602478,25.28974948478807,-1.550536026812075,12.529214814864247,13.111509432458574,16.086248227473842,0.0,0.0,0.0,0.0,0.0,0.0
13829,134091,11.331978967786124,21.303138985752057,-0.7899679654257504,10.406267936721559,11.332967918603524,12.641715709717015,LosAngeles,STID,incident_type,UnknInj,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,11.331978967786124,21.303138985752057,-0.7899679654257504,10.406267936721559,11.332967918603524,12.641715709717015,0.0,0.0,0.0,0.0,0.0,0.0
13812,133707,11.723640203438507,24.536206966322506,-0.8349774725052522,10.844916386901664,11.748512219458455,13.09580257642584,LosAngeles,STID,incident_type,UnknInj,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,11.723640203438507,24.536206966322506,-0.8349774725052522,10.844916386901664,11.748512219458455,13.09580257642584,0.0,0.0,0.0,0.0,0.0,0.0
