group,group_definition,node_windows,node_window_ratio,valid_values,MAE,RMSE,bias,MAE@h1,RMSE@h1,bias@h1,valid@h1,MAE@h3,RMSE@h3,bias@h3,valid@h3,MAE@h6,RMSE@h6,bias@h6,valid@h6,MAE@h12,RMSE@h12,bias@h12,valid@h12,county,model,result_dir,STID_MAE,STID_RMSE,STID_bias,STID_MAE@h1,STID_MAE@h3,STID_MAE@h6,STID_MAE@h12,delta_vs_STID_MAE,delta_vs_STID_RMSE,delta_vs_STID_bias,delta_vs_STID_MAE@h1,delta_vs_STID_MAE@h3,delta_vs_STID_MAE@h6,delta_vs_STID_MAE@h12
all,all test node-windows,9173780,1.0,89889106,11.049267955785432,21.48594535417715,-1.0644327934379363,9.318979452366143,17.153934228303303,-0.4674889700350302,7490607,10.230416681407275,19.54921126931046,-0.7377016289724967,7490645,11.067822653800096,21.523154564672858,-1.0427464849157726,7490730,12.299171235067483,24.08945033920608,-1.5275973516820078,7490951,LosAngeles,STID,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,11.049267955785432,21.48594535417715,-1.0644327934379363,9.318979452366143,10.230416681407275,11.067822653800096,12.299171235067483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_event,no accident in history or future window,9107737,0.9928008955959267,89246826,11.04172850359967,21.47784184758584,-1.0667907015442837,9.313368984878494,17.14813800526328,-0.4686324475475024,7437090,10.223698993017322,19.541648485087403,-0.7396668703179429,7437119,11.060307686523355,21.51557026129841,-1.0454783890520063,7437192,12.29045443709603,24.079117487569714,-1.530472797778605,7437432,LosAngeles,STID,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,11.04172850359967,21.47784184758584,-1.0667907015442837,9.313368984878494,10.223698993017322,11.060307686523355,12.29045443709603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
future_onset,"history has no accident, future has accident",31254,0.0034068835311071334,304355,11.944425233665251,21.36307277889088,-0.716091122804062,9.972278340978553,16.972730505951297,-0.23463854815313664,25352,11.041428303398094,19.165125422492718,-0.40259052041886173,25369,11.942871200770153,21.023014468400394,-0.5798650687691299,25379,13.33990681982189,24.277257351655415,-1.1855630022218981,25363,LosAngeles,STID,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,11.944425233665251,21.36307277889088,-0.716091122804062,9.972278340978553,11.041428303398094,11.942871200770153,13.33990681982189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_only,"history has accident, future has no accident",31217,0.0034028502972602353,303953,12.201169025181319,23.49407061794395,-0.7025998249485622,10.184217613235583,18.76222403329642,-0.33559821055885497,25319,11.30282738528495,21.93870970598161,-0.48949149253337876,25324,12.215338948117987,23.367722399424515,-0.673553483962561,25334,13.561667050057443,25.945895436641592,-1.0173554118989967,25338,LosAngeles,STID,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.201169025181319,23.49407061794395,-0.7025998249485622,10.184217613235583,11.30282738528495,12.215338948117987,13.561667050057443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ongoing,history has accident and future has accident,3572,0.0003893705757059794,33972,12.530462165526194,24.805434855464505,-1.227984718112548,10.462753219497262,18.841878703598486,-0.7268834640170517,2846,11.01692988634362,20.131025320568664,-0.7982142644007636,2833,12.700081877581841,27.76987928173658,-1.3198353522646744,2825,14.58627129007181,31.256347745615972,-1.6048149544774766,2818,LosAngeles,STID,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.530462165526194,24.805434855464505,-1.227984718112548,10.462753219497262,11.01692988634362,12.700081877581841,14.58627129007181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
post_last_slot,last history slot has accident,5628,0.0006134875700093092,54506,12.162037107251882,23.66364823137763,-1.01242319131621,10.358096818530424,18.27522683864241,-0.5134153089782876,4556,11.167961712526754,22.705045992059837,-0.8726655086915031,4537,12.102622828680031,25.01466920667739,-1.0797102264854765,4539,13.890064162165649,28.746943642263222,-1.3306642459215388,4538,LosAngeles,STID,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.162037107251882,23.66364823137763,-1.01242319131621,10.358096818530424,11.167961712526754,12.102622828680031,13.890064162165649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
future_any,future window has accident,34826,0.003796254106813113,338327,12.003270324168168,21.73336568931792,-0.767491243166109,10.021781559370622,17.170616305635555,-0.28432038933074644,28198,11.03896742608985,19.264342106690375,-0.4423324463764967,28202,12.01871585480762,21.793135084095244,-0.6539827693592418,28204,13.464538791884312,25.062746397900924,-1.2274866886192384,28181,LosAngeles,STID,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.003270324168168,21.73336568931792,-0.767491243166109,10.021781559370622,11.03896742608985,12.01871585480762,13.464538791884312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_any,history window has accident,34789,0.0037922208729662147,337925,12.23427326468521,23.62919408163032,-0.7554173551428077,10.212362967785227,18.770288321401075,-0.37513655898373355,28165,11.274061902957946,21.76362516954665,-0.5205534466136758,28157,12.263969854619498,23.846064241853032,-0.7383905001173321,28159,13.664214992509645,26.525315607981344,-1.0761512957406427,28156,LosAngeles,STID,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.23427326468521,23.62919408163032,-0.7554173551428077,10.212362967785227,11.274061902957946,12.263969854619498,13.664214992509645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,all test node-windows,9173780,1.0,89889106,11.101373368870751,21.675179613873766,-0.7304307620036431,9.349109528940712,17.20968220123259,-0.4460087995520694,7490607,10.266948673979343,19.66186255364966,-0.40308595155398835,7490645,11.109710869301123,21.699115368770798,-0.738627098888497,7490730,12.390173982916188,24.370169217526183,-1.039205236286726,7490951,LosAngeles,STIDAccident,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,11.049267955785432,21.48594535417715,-1.0644327934379363,9.318979452366143,10.230416681407275,11.067822653800096,12.299171235067483,0.052105413085319796,0.18923425969661523,0.3340020314342932,0.030130076574568676,0.036531992572067296,0.04188821550102695,0.09100274784870521
no_event,no accident in history or future window,9107737,0.9928008955959267,89246826,11.093727305215314,21.667227346966634,-0.7324266761598894,9.343462496756123,17.203632052053322,-0.44703184519103006,7437090,10.259995117060786,19.65372513438257,-0.4049093549048529,7437119,11.102064340109816,21.69154718736595,-0.7405351133108531,7437192,12.381506916634667,24.36064745313311,-1.0418339298326158,7437432,LosAngeles,STIDAccident,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,11.04172850359967,21.47784184758584,-1.0667907015442837,9.313368984878494,10.223698993017322,11.060307686523355,12.29045443709603,0.0519988016156443,0.1893854993807942,0.33436402538439425,0.030093511877629098,0.03629612404346361,0.04175665358646086,0.0910524795386376
