county,group,model,node_windows,node_window_ratio,MAE,delta_vs_STID_MAE,RMSE,bias,MAE@h3,MAE@h6,MAE@h12
Alameda,future_onset,STID,6005,0.0022250794803577913,12.442495406772004,0.0,22.29094665741283,-2.091244012928612,11.598723096554368,12.428888730230195,13.66740978113443
Alameda,future_onset,STIDAccident,6005,0.0022250794803577913,12.511058391500772,0.06856298472876787,22.27539155731748,-1.9984431809568786,11.717807197610153,12.53647045213349,13.717195625006045
Alameda,future_onset,STIDGatedAccident,6005,0.0022250794803577913,12.359850664928059,-0.08264474184394466,22.116044875858613,-1.8617392283794412,11.53032464432131,12.433842563255624,13.501913559520437
Alameda,history_only,STID,6005,0.0022250794803577913,12.259477005764937,0.0,21.624646457586874,-2.244124743875012,11.681865804915539,12.464347924794561,13.001813812921075
Alameda,history_only,STIDAccident,6005,0.0022250794803577913,12.55270842538996,0.2932314196250232,21.70727950913224,-2.1626929863375333,11.980685912505491,12.774399229324196,13.423589636335636
Alameda,history_only,STIDGatedAccident,6005,0.0022250794803577913,12.162427993079168,-0.09704901268576904,21.365645787043448,-1.8749189422111607,11.614315335011714,12.3997432814748,13.002122184907051
Alameda,ongoing,STID,708,0.0002623407613810685,13.272860226160635,0.0,23.118907150300064,-1.6890335895015745,11.67118847888449,12.984858088830855,14.340612762114581
Alameda,ongoing,STIDAccident,708,0.0002623407613810685,13.44655157654449,0.17369135038385508,22.976978740152806,-1.1072957388477809,11.665142315021459,13.035458698030393,14.765194261775298
Alameda,ongoing,STIDGatedAccident,708,0.0002623407613810685,13.166393463891094,-0.106466762269541,22.87616126560333,-1.3829764896420083,11.764502331830453,12.947769621971947,14.082976944306317
Alameda,post_last_slot,STID,1087,0.0004027745870356235,12.848848757314654,0.0,22.30497606333376,-1.9595893358332281,11.92948017533584,12.848875291535085,13.303398000631564
Alameda,post_last_slot,STIDAccident,1087,0.0004027745870356235,13.098443416753645,0.24959465943899062,22.30225423328567,-1.5281733456930011,12.183952953551758,13.031376298232388,13.889133308507219
Alameda,post_last_slot,STIDGatedAccident,1087,0.0004027745870356235,12.68557666360865,-0.16327209370600393,21.925930961056345,-1.6317591019303672,12.021701373423246,12.653172291806785,13.147121802572551
